model,mode,max_hold,threshold,trades,win_rate,avg_return,total_return,sharpe,max_drawdown
m1_base_up20,absolute,無上限,0.77,15560,0.8497,0.169,0.169,0.7073,-0.0377
m1_base_up20,matched_top,無上限,0.0,9708,0.654,0.0909,0.0909,0.7484,-0.0237
m1_base_up20,absolute,20日,0.77,15558,0.906,0.1182,0.1182,0.6484,-0.0322
m1_base_up20,matched_top,20日,0.0,9706,0.5434,0.0304,0.0304,0.5726,-0.0162
m2_nomkt_up20,absolute,無上限,0.74,9751,0.8741,0.1767,0.1767,0.7043,-0.0397
m2_nomkt_up20,matched_top,無上限,0.0,9708,0.5918,0.0496,0.0496,0.4393,-0.024
m2_nomkt_up20,absolute,20日,0.74,9750,0.9292,0.1259,0.1259,0.6458,-0.0377
m2_nomkt_up20,matched_top,20日,0.0,9704,0.501,0.0144,0.0144,0.3148,-0.0154
m3_v3_up20,absolute,無上限,0.7,19959,0.8269,0.156,0.156,0.6962,-0.0379
m3_v3_up20,matched_top,無上限,0.0,9707,0.6751,0.0983,0.0983,0.7727,-0.0244
m3_v3_up20,absolute,20日,0.7,19953,0.8956,0.1131,0.1131,0.6613,-0.0294
m3_v3_up20,matched_top,20日,0.0,9706,0.5417,0.0292,0.0292,0.594,-0.0149
m6_base_nobear,absolute,無上限,0.62,13082,0.7309,0.1245,0.1245,0.6317,-0.0389
m6_base_nobear,matched_top,無上限,0.0,6236,0.6515,0.093,0.093,0.7488,-0.0237
m6_base_nobear,absolute,20日,0.62,13071,0.7198,0.064,0.064,0.5416,-0.019
m6_base_nobear,matched_top,20日,0.0,6234,0.5491,0.0341,0.0341,0.6692,-0.0136
m8_v3_nobear,absolute,無上限,0.6,14266,0.7202,0.1184,0.1184,0.6163,-0.0402
m8_v3_nobear,matched_top,無上限,0.0,6236,0.6732,0.0959,0.0959,0.7553,-0.0253
m8_v3_nobear,absolute,20日,0.6,14253,0.7115,0.0607,0.0607,0.5367,-0.0179
m8_v3_nobear,matched_top,20日,0.0,6235,0.5331,0.0285,0.0285,0.5957,-0.012
m1_mdd10,absolute,無上限,0.68,15691,0.7932,0.1429,0.1429,0.628,-0.042
m1_mdd10,matched_top,無上限,0.0,9695,0.6435,0.084,0.084,0.6356,-0.0249
m1_mdd10,absolute,20日,0.68,15688,0.859,0.0967,0.0967,0.5954,-0.0253
m1_mdd10,matched_top,20日,0.0,9691,0.5138,0.0115,0.0115,0.3317,-0.0138
